state,d_month,year,month_only,month,totals,handguns_total,long_guns_total,other_total
North Carolina,2017-07-01,2017,07,2017-07,34784,2909,11033,20842
North Dakota,2017-07-01,2017,07,2017-07,4136,1362,2125,649
Ohio,2017-07-01,2017,07,2017-07,49432,22182,14765,12485
Oklahoma,2017-07-01,2017,07,2017-07,20738,11060,8117,1561
Oregon,2017-07-01,2017,07,2017-07,23239,11269,7928,4042
Pennsylvania,2017-07-01,2017,07,2017-07,73654,37854,11780,24020
Puerto Rico,2017-07-01,2017,07,2017-07,1381,1124,191,66
Rhode Island,2017-07-01,2017,07,2017-07,1646,847,603,196
South Carolina,2017-07-01,2017,07,2017-07,26567,8427,5157,12983
South Dakota,2017-07-01,2017,07,2017-07,6068,2048,2583,1437
Tennessee,2017-07-01,2017,07,2017-07,52643,20317,11430,20896
Texas,2017-07-01,2017,07,2017-07,98338,43255,31188,23895
Utah,2017-07-01,2017,07,2017-07,17925,2892,2881,12152
Vermont,2017-07-01,2017,07,2017-07,2275,1127,1014,134
Virgin Islands,2017-07-01,2017,07,2017-07,151,39,6,106
Virginia,2017-07-01,2017,07,2017-07,36183,20692,13381,2110
Washington,2017-07-01,2017,07,2017-07,38369,15133,10155,13081
West Virginia,2017-07-01,2017,07,2017-07,13970,5958,5644,2368
Wisconsin,2017-07-01,2017,07,2017-07,32846,11727,10199,10920
Wyoming,2017-07-01,2017,07,2017-07,3398,1376,1562,460
Alabama,2017-06-01,2017,06,2017-06,35687,9665,5832,20190
Alaska,2017-06-01,2017,06,2017-06,6353,3190,2502,661
Arizona,2017-06-01,2017,06,2017-06,28359,12885,7245,8229
Arkansas,2017-06-01,2017,06,2017-06,16614,6829,5465,4320
California,2017-06-01,2017,06,2017-06,130187,43162,24115,62910
Colorado,2017-06-01,2017,06,2017-06,36459,18012,11338,7109
Connecticut,2017-06-01,2017,06,2017-06,16504,6205,1765,8534
Delaware,2017-06-01,2017,06,2017-06,3634,1827,1127,680
District of Columbia,2017-06-01,2017,06,2017-06,74,52,5,17
Florida,2017-06-01,2017,06,2017-06,100508,55791,20601,24116
Georgia,2017-06-01,2017,06,2017-06,39874,15629,7755,16490
Guam,2017-06-01,2017,06,2017-06,156,95,43,18
