Unnamed: 0,state,pop_16,pop_10,pop_chg,foreign_born_pct,owner-occ_housing,med_gross_rent,med_hh_income,no_health_ins,women-owned_firms,min-owned_firms,all_firms,women-owned_prop,min-owned_prop,politics,handguns_total,long_guns_total,other_total,totals,total_NICS_pc,handguns_pc,long_guns_pc,other_pc
40.0,South Dakota,865454.0,814195.0,0.00063,0.0003,0.006809999999999999,655.0,50957.0,0.00103,23722.0,4101.0,81314.0,0.2917332808618442,0.05043411958580318,Red,39780.0,56979.0,34230.0,614918,0.7105149436018552,0.045964314683391606,0.0658371213259168,0.03955149551564843
41.0,Tennessee,6651194.0,6346298.0,0.00047999999999999996,0.00047999999999999996,0.006679999999999999,764.0,45219.0,0.00106,195694.0,105234.0,550453.0,0.35551445809178983,0.19117708505539985,Red,346417.0,226022.0,386871.0,4028097,0.6056201337684632,0.05208343043369356,0.03398216921653466,0.05816564664930838
42.0,Texas,27862596.0,25146100.0,0.108,0.166,0.622,882.0,53207.0,0.18600000000000005,866678.0,1070392.0,2356748.0,0.3677431783118093,0.4541817792992717,Red,757491.0,604634.0,700093.0,10061752,0.3611204067273559,0.027186662721592775,0.021700562287878703,0.025126624956267534
43.0,Utah,3051217.0,2763888.0,0.104,0.084,0.695,887.0,60727.0,0.097,76269.0,24423.0,251419.0,0.3033541617777495,0.09714062978533844,Red,57470.0,65213.0,303777.0,2589204,0.8485807466332287,0.01883510743418118,0.021372783384465938,0.09955929060437196
44.0,Vermont,624594.0,625741.0,-0.002,0.043,0.71,895.0,55176.0,0.045,23417.0,2354.0,75827.0,0.30882139607263903,0.031044350956783207,Blue,20494.0,21366.0,3489.0,230589,0.3691822207706126,0.03281171448973253,0.03420782140078195,0.005586028684233278
45.0,Virginia,8411808.0,8001041.0,0.051,0.117,0.662,1116.0,65015.0,0.101,236290.0,185043.0,653193.0,0.3617460689260295,0.2832899311535794,Blue,342420.0,241173.0,39595.0,3056772,0.3633906052063956,0.04070706321399632,0.028670768519680905,0.004707073675480943
46.0,Washington,7288000.0,6724545.0,0.084,0.134,0.625,1014.0,61062.0,0.069,187677.0,92807.0,541522.0,0.3465731770823716,0.17138177211636832,Blue,268391.0,192654.0,421089.0,3592654,0.4929547200878156,0.03682642700329308,0.026434412733260155,0.05777840285400659
47.0,West Virginia,1831102.0,1853011.0,-0.012,0.015,0.725,643.0,41751.0,0.065,39065.0,5777.0,114435.0,0.34137283173854155,0.05048280683357365,Red,112071.0,111074.0,56893.0,1526018,0.8333877632158121,0.061204127350633665,0.06065964648610509,0.03107036090834918
48.0,Wisconsin,5778708.0,5687289.0,0.016,0.048,0.6729999999999999,776.0,53357.0,0.062,133859.0,40507.0,432980.0,0.3091574668575916,0.09355397477943554,Blue,210100.0,191555.0,344604.0,2893768,0.5007638385604533,0.036357607963579404,0.033148413105490014,0.059633399022757334
49.0,Wyoming,585501.0,563767.0,0.039,0.036000000000000004,0.691,789.0,58840.0,0.134,19344.0,4077.0,62427.0,0.3098659233985295,0.06530828007112308,Red,25725.0,30445.0,14942.0,412983,0.7053497773701497,0.043936731107205626,0.05199820324815842,0.02552002473095691
,District of Columbia,,,,,,,,,,,,,,Blue,827.0,54.0,287.0,4129,,,,
,Guam,,,,,,,,,,,,,,,1327.0,715.0,350.0,10393,,,,
,Mariana Islands,,,,,,,,,,,,,,,78.0,27.0,10.0,172,,,,
,Puerto Rico,,,,,,,,,,,,,,,16060.0,2896.0,1172.0,104340,,,,
,Virgin Islands,,,,,,,,,,,,,,,333.0,80.0,1340.0,7514,,,,
